Place,Car No.,Team,Team.1,D1 Run 1 Time,D1 Run 1 # of Cones,D1 Run 1 Adj.,D1 Run 2 Time,D1 Run 2 # of Cones,D1 Run 2 Adj.,D2 Run 1 Time,D2 Run 1 # of Cones,D2 Run 1 Adj.,D2 Run 2 Time,D2 Run 2 # of Cones,D2 Run 2 Adj.,Viocount,Best Time,Event Score
1,E01,Nagoya University EV,名古屋大学EV,3.796,,3.796,3.779,,3.779,,,DNF,,,DNF,0,3.779,100.0
2,C02,Nihon Automobile College,日本自動車大学校,4.070,,4.07,4.071,,4.071,4.140,,4.140,4.106,,4.106,0,4.07,79.51
3,C06,Kobe University,神戸大学,4.220,,4.22,4.111,,4.111,4.378,,4.378,4.183,,4.183,0,4.111,76.86
4,C23,Tokyo University of Agriculture and Technology,東京農工大学,4.752,,4.752,5.238,,5.238,4.355,,4.355,4.128,,4.128,0,4.128,75.77
5,C50,Jilin University,Jilin University,4.251,,4.251,4.176,,4.176,,,DNF,,,DNF,0,4.176,72.76
6,C01,Kyoto Institute of Technology,京都工芸繊維大学,4.313,,4.313,4.198,,4.198,4.347,,4.347,4.227,,4.227,0,4.198,71.4
7,C11,Kyushu Institute of Technology,九州工業大学,4.642,,4.642,4.432,,4.432,4.310,,4.310,4.272,,4.272,0,4.272,66.93
8,C14,Shibaura Institute of Technology,芝浦工業大学,4.343,,4.343,4.401,,4.401,4.521,,4.521,4.296,,4.296,0,4.296,65.52
9,C41,Ritsumeikan University,立命館大学,4.420,,4.42,4.337,,4.337,4.450,,4.450,4.852,,4.852,0,4.337,63.13
10,C07,Chiba University,千葉大学,4.345,,4.345,4.374,,4.374,4.434,,4.434,4.469,,4.469,0,4.345,62.67
11,C18,Hokkaido University,北海道大学,4.648,,4.648,4.948,,4.948,6.136,,6.136,4.403,,4.403,0,4.403,59.39
12,C22,Osaka University,大阪大学,4.419,,4.419,4.731,,4.731,4.669,,4.669,4.462,,4.462,0,4.419,58.5
13,C08,Doshisha University,同志社大学,4.808,,4.808,4.463,,4.463,4.796,,4.796,4.591,,4.591,0,4.463,56.09
14,C12,Kyoto University,京都大学,4.674,,4.674,4.680,,4.680,4.624,,4.624,4.481,,4.481,0,4.481,55.11
15,C21,Nihon University College of Science of Technology,日本大学理工学部,4.504,,4.504,4.640,,4.640,4.518,,4.518,4.652,,4.652,0,4.504,53.88
16,E14,Nissan Automobile Technical Collage Kyoto,日産京都自動車大学校EV,4.524,,4.524,4.565,,4.565,6.187,,6.187,,,DNF,0,4.524,52.81
17,C13,Ibaraki University,茨城大学,4.947,,4.947,4.750,,4.750,4.694,,4.694,4.554,,4.554,0,4.554,51.24
18,E02,Nagoya Institute of TechnologyEV,名古屋工業大学EV,4.581,,4.581,4.577,,4.577,,,DNF,,,DNF,0,4.577,50.04
19,E03,The University of TokyoEV,東京大学EV,4.592,,4.592,4.663,,4.663,5.749,,5.749,4.981,,4.981,0,4.592,49.27
20,C09,Nippon Institute of Technology,日本工業大学,5.080,,5.08,4.835,,4.835,4.745,,4.745,4.687,,4.687,0,4.687,44.49
21,C31,Honda Technical College Kansai,ホンダテクニカルカレッジ関西,5.106,,5.106,4.764,,4.764,5.308,,5.308,5.390,,5.390,0,4.764,40.76
22,C05,Meijo University,名城大学,4.777,,4.777,9.538,,9.538,,,DNF,,,DNF,0,4.777,40.14
23,C17,Tokyo Metropolitan University,東京都立大学,5.121,,5.121,5.653,,5.653,4.793,,4.793,4.795,,4.795,0,4.793,39.38
24,C16,teikyoniversity,帝京大学,5.809,,5.809,4.822,,4.822,4.973,,4.973,13.666,,13.666,0,4.822,38.02
25,C19,Waseda University,早稲田大学,4.891,,4.891,5.529,,5.529,5.295,,5.295,5.387,,5.387,0,4.891,34.86
26,C03,Gifu University,岐阜大学,4.973,,4.973,,,DNF,,,DNF,,,DNF,0,4.973,31.21
27,C25,The University of Kitakyushu,北九州市立大学,5.058,,5.058,5.138,,5.138,5.082,,5.082,5.275,,5.275,0,5.058,27.55
28,C39,Osaka Metropolitan University,大阪公立大学,5.585,,5.585,5.076,,5.076,,,DNF,,,DNF,0,5.076,26.79
29,C28,"College of Industrial Technology, Nihon University",日本大学生産工学部,5.251,,5.251,5.142,,5.142,,,DNF,,,DNF,0,5.142,24.05
30,C10,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,5.237,,5.237,5.257,,5.257,,,DNF,,,DNF,0,5.237,20.23
31,E11,Sophia University,上智大学EV,5.399,,5.399,5.312,,5.312,,,DNF,,,DNF,0,5.312,17.31
32,C37,Saitama University,埼玉大学,50.234,,50.234,26.300,,26.300,5.871,,5.871,5.548,,5.548,0,5.548,8.64
33,C20,Toyota Technical College Nagoya,トヨタ名古屋自動車大学校,7.214,,7.214,6.545,,6.545,6.720,,6.720,,,DNF,0,6.545,4.5
33,C24,Kanazawa Institute of Technology,金沢工業大学,8.633,,8.633,8.562,,8.562,13.880,,13.880,7.518,,7.518,0,7.518,4.5
33,C33,Osaka Institute of Technology,大阪工業大学,7.200,,7.2,7.233,,7.233,7.962,,7.962,,,DNF,0,7.2,4.5
33,C44,Kurume Institute of Technology,久留米工業大学,5.934,,5.934,5.740,,5.740,6.586,,6.586,6.108,,6.108,0,5.74,4.5
33,E08,Tohoku University EV,東北大学EV,8.028,,8.028,7.899,,7.899,,,DNF,,,DNF,0,7.899,4.5
33,E09,University of YamanashiEV,山梨大学EV,8.677,,8.677,8.420,,8.420,,,DNF,,,DNF,0,8.42,4.5
33,E10,National Cheng Kung University EVEV,National Cheng Kung University EV,9.580,,9.58,,,DNF,,,DNF,,,DNF,0,9.58,4.5
33,E17,Aichi Institute of TechnologyEV,愛知工業大学EV,25.381,,25.381,,,DNF,8.682,,8.682,7.912,,7.912,0,7.912,4.5
33,E18,Institute of TechnologistsEV,ものつくり大学EV,22.301,,22.301,19.997,,19.997,7.672,,7.672,7.743,,7.743,0,7.672,4.5
33,E20,University of ToyamaEV,富山大学EV,7.347,,7.347,7.191,,7.191,,,DNF,,,DNF,0,7.191,4.5
,C04,Kogakuin University,工学院大学,,,,,,,,,,,,,0,,
,C15,Sanyo-onoda City University,山陽小野田市立山口東京理科大学,,,,,,,,,,,,,0,,
,C26,Tokyo City University,東京都市大学,,,,,,,,,,,,,0,,
,C27,Okayama University,岡山大学,,,,,,,,,,,,,0,,
,C30,Niigata University,新潟大学,,,,,,,,,,,,,0,,
,C32,Tokyo University of Science,東京理科大学,,,,,,,,,,,,,0,,
,C34,Gunma university,群馬大学,,,,,,,,,,,,,0,,
,C35,Kindai University,近畿大学,,,,,,,,,,,,,0,,
,C36,Kanazawa University,金沢大学,,,,,,,,,,,,,0,,
,C38,Fukui University of Technology,福井工業大学,,,,,,,,,,,,,0,,
,C40,Meisei University,明星大学,,,,,,,,,,,,,0,,
,C43,Hiroshima Institute of Technology,広島工業大学,,,,,,,,,,,,,0,,
,C46,Sojo University,崇城大学,,,,,,,,,,,,,0,,
,C47,Tohoku Gakuin University,東北学院大学,,,,,,,,,,,,,0,,
,C48,Shizuoka Professional College Of Automobile Technology Sports,静岡工科自動車大学校,,,,,,,,,,,,,0,,
,C49,Tongji University,Tongji University,,,,,,,,,,,,,0,,
,C51,Harbin Institute of Technology at Weihai,Harbin Institute of Technology at Weihai,,,,,,,,,,,,,0,,
,C52,Kasetsart University,Kasetsart University,,,,,,,,,,,,,0,,
,C55,Kokushikan University,国士舘大学,,,,,,,,,,,,,0,,
,C57,Mie University,三重大学,,,,,,,,,,,,,0,,
,C59,Tokai University,東海大学,,,,,,,,,,,,,0,,
,C60,Aoyama Gakuin University,青山学院大学,,,,,,,,,,,,,0,,
,C62,Hiroshima University,広島大学,,,,,,,,,,,,,0,,
,C63,Muroran Institute of Technology,室蘭工業大学,,,,,,,,,,,,,0,,
,C64,Osaka Sangyo University,大阪産業大学,,,,,,,,,,,,,0,,
,C67,Universiti Putra Malaysia,Universiti Putra Malaysia,,,,,,,,,,,,,0,,
,E04,Shizuoka University,静岡大学EV,,,,,,,,,,,,,0,,
,E07,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,,,,,,,,,,,,,0,,
,E12,Kanagawa Institute of Technology,神奈川工科大学EV,,,,,,,,,,,,,0,,
,E13,Toyohashi University of Technology EV,豊橋技術科学大学EV,,,,,,,,,,,,,0,,
,E15,Tokyo University TechnologyEV,東京工科大学EV,,,,,,,,,,,,,0,,
,E16,Yokohama National UniversityEV,横浜国立大学EV,,,,,,,,,,,,,0,,
,E21,Jilin University EV,Jilin University EV,,,,,,,,,,,,,0,,
,E23,National Taiwan University EV,National Taiwan University EV,,,,,,,,,,,,,0,,
,E25,University of FukuiEV,福井大学EV,,,,,,,,,,,,,0,,
,E36,"National Institute of Technology, Ichinoseki College /Iwate UniversityEV",一関工業高等専門学校/岩手大学EV,,,,,,,,,,,,,0,,
