Place,Car No.,Team (EN),Team (JP),Run #1 Time,Run #1 # of Cones,Run #1 Off Course/Missed Slalom,Run #1 Adj.,Run #2 Time,Run #2 # of Cones,Run #2 Off Course/Missed Slalom,Run #2 Adj.,Run #3 Time,Run #3 # of Cones,Run #3 Off Course/Missed Slalom,Run #3 Adj.,Run #4 Time,Run #4 # of Cones,Run #4 Off Course/Missed Slalom,Run #4 Adj.,Viocount,Best Time,Event Score
1,C14,Hokkaido University,北海道大学,69.780 ,1,0,71.780 ,68.710 ,0,0,68.710 ,65.235 ,1,0,67.235 ,64.808 ,0,0,64.808 ,0,64.808 ,125.00 
2,C37,Kogakuin University,工学院大学,66.260 ,0,0,66.260 ,64.979 ,0,0,64.979 ,72.402 ,0,0,72.402 ,,,,DNF,0,64.979 ,123.99 
3,C07,The University of Osaka,大阪大学,66.571 ,0,0,66.571 ,74.067 ,1,1,96.067 ,79.255 ,2,0,83.255 ,65.179 ,0,0,65.179 ,0,65.179 ,122.82 
4,C21,Chiba University,千葉大学,66.794 ,0,0,66.794 ,65.438 ,0,0,65.438 ,,,,DNF,,,,DNF,0,65.438 ,121.32 
5,C03,Nihon Automobile College,日本自動車大学校,66.780 ,0,0,66.780 ,66.373 ,0,0,66.373 ,66.500 ,1,0,68.500 ,65.663 ,0,0,65.663 ,0,65.663 ,120.02 
6,C01,Kyoto Institute of Technology,京都工芸繊維大学,67.997 ,0,0,67.997 ,66.359 ,3,0,72.359 ,67.049 ,0,0,67.049 ,66.006 ,0,0,66.006 ,0,66.006 ,118.06 
7,C12,Doshisha University,同志社大学,67.161 ,0,0,67.161 ,65.995 ,1,0,67.995 ,66.034 ,0,0,66.034 ,68.390 ,1,1,90.390 ,0,66.034 ,117.91 
8,C18,Ibaraki University,茨城大学,69.328 ,0,0,69.328 ,81.492 ,3,1,107.492 ,67.580 ,0,0,67.580 ,66.513 ,0,0,66.513 ,0,66.513 ,115.21 
9,C10,Jilin University,Jilin University,70.264 ,0,0,70.264 ,66.827 ,0,0,66.827 ,68.312 ,0,0,68.312 ,67.734 ,1,0,69.734 ,0,66.827 ,113.46 
10,C25,"College of Industrial Technology, Nihon University",日本大学生産工学部,68.819 ,0,0,68.819 ,67.465 ,0,0,67.465 ,72.677 ,0,0,72.677 ,71.437 ,0,0,71.437 ,0,67.465 ,109.96 
11,C04,Gifu University,岐阜大学,69.338 ,0,0,69.338 ,67.703 ,0,0,67.703 ,71.997 ,0,0,71.997 ,68.371 ,1,0,70.371 ,0,67.703 ,108.67 
12,C41,Kasetsart University,Kasetsart University,70.821 ,0,0,70.821 ,69.316 ,0,0,69.316 ,69.357 ,0,0,69.357 ,67.882 ,0,0,67.882 ,0,67.882 ,107.70 
13,C05,Nippon Institute of Technology,日本工業大学,68.071 ,0,0,68.071 ,68.154 ,0,0,68.154 ,74.496 ,0,0,74.496 ,72.730 ,0,0,72.730 ,0,68.071 ,106.69 
14,C23,Kanazawa University,金沢大学,85.120 ,0,0,85.120 ,71.462 ,0,0,71.462 ,69.705 ,1,0,71.705 ,68.497 ,0,0,68.497 ,0,68.497 ,104.43 
15,C02,Kobe University,神戸大学,69.571 ,0,0,69.571 ,68.649 ,0,0,68.649 ,,,,DNF,,,,DNF,0,68.649 ,103.63 
16,C13,"College of Science and Technology, Nihon University",日本大学理工学部,70.792 ,2,0,74.792 ,68.984 ,0,0,68.984 ,,,,DNF,,,,DNF,0,68.984 ,101.88 
17,C08,Kyushu Institute of Technology,九州工業大学,69.657 ,2,0,73.657 ,69.001 ,0,0,69.001 ,,,,DNF,,,,DNF,0,69.001 ,101.79 
18,C24,Meijo University,名城大学,70.212 ,0,0,70.212 ,69.411 ,0,0,69.411 ,,,,DNF,,,,DNF,0,69.411 ,99.67 
19,C29,Teikyo University,帝京大学,72.164 ,0,0,72.164 ,69.497 ,0,0,69.497 ,75.630 ,0,0,75.630 ,70.461 ,0,0,70.461 ,0,69.497 ,99.23 
20,C22,Ritsumeikan University,立命館大学,73.294 ,0,0,73.294 ,71.277 ,1,0,73.277 ,67.596 ,1,0,69.596 ,81.438 ,1,2,123.438 ,0,69.596 ,98.73 
21,C06,Kyoto University,京都大学,70.995 ,0,0,70.995 ,69.741 ,0,0,69.741 ,,,,DNF,,,,DNF,0,69.741 ,97.99 
22,C20,Waseda University,早稲田大学,,,,DNF,,,,DNF,76.958 ,3,1,102.958 ,68.324 ,1,0,70.324 ,0,70.324 ,95.05 
23,C17,Sanyo-Onoda City University,山陽小野田市立山口東京理科大学,72.678 ,0,0,72.678 ,70.623 ,0,0,70.623 ,76.314 ,0,0,76.314 ,73.563 ,0,0,73.563 ,0,70.623 ,93.56 
24,C16,Tokyo Metropolitan University,東京都立大学,76.353 ,1,1,98.353 ,71.034 ,0,0,71.034 ,86.259 ,2,1,110.259 ,80.179 ,0,0,80.179 ,0,71.034 ,91.53 
25,C34,okayama univercity,岡山大学,82.610 ,0,0,82.610 ,78.946 ,0,0,78.946 ,71.601 ,0,0,71.601 ,71.249 ,0,0,71.249 ,0,71.249 ,90.48 
26,C19,The University of Kitakyushu,北九州市立大学,73.366 ,0,0,73.366 ,71.297 ,0,0,71.297 ,73.548 ,2,0,77.548 ,71.693 ,0,0,71.693 ,0,71.297 ,90.24 
27,C11,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,74.280 ,0,0,74.280 ,72.248 ,0,0,72.248 ,69.334 ,1,0,71.334 ,100.996 ,0,1,120.996 ,0,71.334 ,90.06 
28,C32,OSAKA INSTITUTE OF TECHNOLOGY,大阪工業大学,74.073 ,0,0,74.073 ,71.642 ,0,0,71.642 ,70.276 ,1,0,72.276 ,70.683 ,1,0,72.683 ,0,71.642 ,88.57 
29,C60,Guangxi University of Science and Technology,Guangxi University of Science and Technology,72.351 ,0,0,72.351 ,,,,DNF,,,,DNF,,,,DNF,0,72.351 ,85.19 
30,C30,Tokyo City University,東京都市大学,79.001 ,0,0,79.001 ,72.425 ,0,0,72.425 ,,,,DNF,,,,DNF,0,72.425 ,84.84 
31,C58,Kanazawa Institute of Technology,金沢工業大学,86.762 ,2,0,90.762 ,78.650 ,0,0,78.650 ,74.997 ,0,0,74.997 ,73.227 ,0,0,73.227 ,0,73.227 ,81.10 
32,C44,Shizuoka Professional College of Automobile Technology Sports,静岡工科自動車大学校,78.883 ,0,0,78.883 ,,,,DNF,75.152 ,1,1,97.152 ,73.411 ,0,0,73.411 ,0,73.411 ,80.25 
33,C28,Honda Technical College Kansai,ホンダテクニカルカレッジ関西,76.300 ,0,0,76.300 ,73.790 ,0,0,73.790 ,82.272 ,0,0,82.272 ,83.441 ,1,0,85.441 ,0,73.790 ,78.52 
34,C42,Tokyo University of Science,東京理科大学,76.231 ,0,0,76.231 ,72.423 ,1,0,74.423 ,,,,DNF,,,,DNF,0,74.423 ,75.66 
35,C15,Shibaura Institute of Technology,芝浦工業大学,81.531 ,0,1,101.531 ,75.402 ,0,0,75.402 ,,,,DNF,,,,DNF,0,75.402 ,71.35 
36,C40,Hiroshima Institute of  Technology,広島工業大学,110.387 ,1,0,112.387 ,,,,DNF,83.593 ,0,0,83.593 ,74.897 ,1,0,76.897 ,0,76.897 ,64.97 
37,C45,Osaka Sangyo University,大阪産業大学,77.567 ,0,0,77.567 ,78.340 ,0,0,78.340 ,,,,DNF,,,,DNF,0,77.567 ,62.19 
38,C50,Sojo University.,崇城大学,83.980 ,1,0,85.980 ,84.692 ,1,0,86.692 ,78.971 ,1,0,80.971 ,77.621 ,2,0,81.621 ,0,80.971 ,48.78 
39,C53,Tottori University,鳥取大学,93.459 ,0,0,93.459 ,84.126 ,0,0,84.126 ,,,,DNF,,,,DNF,0,84.126 ,37.31 
40,C49,Hiroshima University,広島大学,88.238 ,1,0,90.238 ,96.020 ,0,0,96.020 ,86.308 ,1,0,88.308 ,100.161 ,0,0,100.161 ,0,88.308 ,23.38 
41,C31,Osaka Metropolitan University,大阪公立大学,90.499 ,0,0,90.499 ,94.426 ,0,0,94.426 ,96.538 ,0,0,96.538 ,92.775 ,0,0,92.775 ,0,90.499 ,16.60 
42,C38,Kurume Institute of Technology,久留米工業大学,,,,DNF,,,,DNF,94.321 ,0,0,94.321 ,,,,DNF,0,94.321 ,6.50 
42,C09,Tokyo University of Agriculture and Technology,東京農工大学,94.418 ,1,0,96.418 ,,,,DNF,,,,DNF,,,,DNF,0,96.418 ,6.50 
42,C52,Tohoku Gakuin University,東北学院大学,111.261 ,0,0,111.261 ,97.519 ,0,0,97.519 ,,,,DNF,,,,DNF,0,97.519 ,6.50 
42,C48,Meisei University,明星大学,101.867 ,0,0,101.867 ,,,,DNF,,,,DNF,,,,DNF,0,101.867 ,6.50 
,C27,Toyota Mobility Engineering College Nagoya,トヨタ名古屋自動車大学校,,,,,,,,,,,,,,,,,,,
,C33,Tokai University,東海大学,,,,,,,,,,,,,,,,,,,
,C35,Gunma University,群馬大学,,,,,,,,,,,,,,,,,,,
,C43,Kindai Univercity,近畿大学,,,,,,,,,,,,,,,,,,,
,C46,FukuiUniversityofTechnology,福井工業大学,,,,,,,,,,,,,,,,,,,
,C47,Aoyama Gakuin University,青山学院大学,,,,,,,,,,,,,,,,,,,
,C51,Shonan Institute of Technology,湘南工科大学,,,,,,,,,,,,,,,,,,,
,C54,Chiba Institute of Technology,千葉工業大学,,,,,,,,,,,,,,,,,,,
,C55,Muroran Institute of Technology,室蘭工業大学,,,,,,,,,,,,,,,,,,,
,C56,MIe Univercity,三重大学,,,,,,,,,,,,,,,,,,,
,C57,"National Institute of Technology(KOSEN), Toyota College",豊田工業高等専門学校,,,,,,,,,,,,,,,,,,,
,C59,"National Institute of Technology, Numazu College",沼津工業高等専門学校,,,,,,,,,,,,,,,,,,,
,C62,Institut Teknologi Bandung,Institut Teknologi Bandung,,,,,,,,,,,,,,,,,,,
